Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.78     0.00       69     0.00     0.00  std::__detail::_Scanner<char>::_M_advance()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::CommandQueue::CommandQueue(std::vector<std::vector<DRAMSim::BankState, std::allocator<DRAMSim::BankState> >, std::allocator<std::vector<DRAMSim::BankState, std::allocator<DRAMSim::BankState> > > >&, std::ostream&)
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::CommandQueue::~CommandQueue()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemorySystem::MemorySystem(unsigned int, unsigned int, DRAMSim::CSVWriter&, std::ostream&, DRAMSim::Configuration&)
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemorySystem::~MemorySystem()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemorySystem::~MemorySystem()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemoryController::attachRanks(std::vector<DRAMSim::Rank*, std::allocator<DRAMSim::Rank*> >*)
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemoryController::MemoryController(DRAMSim::MemorySystem*, DRAMSim::CSVWriter&, std::ostream&, DRAMSim::Configuration&)
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemoryController::~MemoryController()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemoryController::~MemoryController()
  0.00      1.78     0.00       64     0.00     0.00  DRAMSim::MemoryControllerStats::resetStats()
  0.00      1.78     0.00       64     0.00     0.00  std::_Deque_base<DRAMSim::Transaction*, std::allocator<DRAMSim::Transaction*> >::~_Deque_base()
  0.00      1.78     0.00       64     0.00     0.00  void std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >::_M_emplace_back_aux<DRAMSim::BusPacket*>(DRAMSim::BusPacket*&&)
  0.00      1.78     0.00       64     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_emplace_back_aux<unsigned int>(unsigned int&&)
